timestamp,object_id,direction,centroid_x,centroid_y,confidence,class_name,frame_number,total_count
2025-08-06T09:35:48.570941,0,left_to_right,964,389,0.9999233484268188,red_box,10,1
2025-08-06T09:35:56.095693,1,left_to_right,966,776,0.9989725351333618,red_box,67,2
2025-08-06T09:36:00.202069,2,left_to_right,972,419,0.9999121427536011,red_box,98,3
2025-08-06T09:36:01.858267,3,left_to_right,961,228,0.9999045133590698,red_box,111,4
2025-08-06T09:36:09.660260,4,left_to_right,964,567,0.9954683780670166,red_box,171,5
2025-08-06T09:36:10.083776,5,left_to_right,970,331,0.999909520149231,red_box,174,6
2025-08-06T09:36:13.107314,6,left_to_right,975,673,0.9998799562454224,red_box,197,7
2025-08-06T09:36:16.538175,7,left_to_right,965,594,0.9998806715011597,red_box,223,8
2025-08-06T09:36:17.317009,8,left_to_right,976,766,0.9999169111251831,red_box,229,9
2025-08-06T09:36:18.103184,9,left_to_right,968,241,0.9999428987503052,red_box,235,10
