timestamp,object_id,direction,centroid_x,centroid_y,confidence,class_name,frame_number,total_count
2025-08-06T09:18:03.309976,0,left_to_right,964,389,0.99992335,red_box,10,1
2025-08-06T09:18:10.501258,1,left_to_right,966,776,0.99897254,red_box,67,2
2025-08-06T09:18:14.375882,2,left_to_right,972,419,0.99991214,red_box,98,3
2025-08-06T09:18:15.997291,3,left_to_right,961,228,0.9999045,red_box,111,4
2025-08-06T09:18:23.531697,4,left_to_right,964,567,0.9954684,red_box,171,5
2025-08-06T09:18:23.902856,5,left_to_right,970,331,0.9999095,red_box,174,6
2025-08-06T09:18:26.801794,6,left_to_right,975,673,0.99987996,red_box,197,7
2025-08-06T09:18:30.017364,7,left_to_right,965,594,0.9998807,red_box,223,8
2025-08-06T09:18:30.759749,8,left_to_right,976,766,0.9999169,red_box,229,9
2025-08-06T09:18:31.519981,9,left_to_right,968,241,0.9999429,red_box,235,10
